Market,sales,profit,orders,late_rate,profit_margin,sales_share
Europe,10872396.79565504,1169442.960997907,18561,0.552077529252567,0.10756073228170389,0.29556816956001947
LATAM,10277612.840942344,1123321.611491542,17181,0.5435515757646238,0.10929791079662288,0.27939885491098493
Pacific Asia,8273743.740617017,857753.441107099,17577,0.5504604944255937,0.10367174377135491,0.2249232932521487
USCA,5066528.710962289,564313.780381358,8579,0.5480057366564596,0.11138075249832691,0.13773454421023887
Africa,2294452.925203156,252071.180072451,3854,0.5458928878939211,0.10986112519616503,0.06237513806660796
