Shipping Mode,sales,profit,orders,order_lines,late_orders,late_rate,avg_real_days,avg_scheduled_days,avg_delay_days,profit_margin,late_order_share
Standard Class,22022391.879809294,2370454.452803965,39324,107752,41023,0.38071683124211153,3.995907268542579,4.0,-0.004092731457420744,0.10763837396687415,0.4144700283904341
Second Class,7145444.818358915,750308.170265433,12778,35216,26987,0.766327805542935,3.9908280327124035,2.0,1.9908280327124035,0.10500510315854,0.2726593046869475
First Class,5674369.758202553,643121.920739061,10079,27814,26513,0.9532249946070325,2.0,1.0,1.0,0.11333803543722186,0.2678703133051113
Same Day,1942528.557009085,203018.430241898,3571,9737,4454,0.4574304200472425,0.4782787306151792,0.0,0.4782787306151792,0.10451245594787335,0.0450003536175071
