discount_bin,order_lines,sales,profit,avg_profit_ratio,late_rate,profit_margin
0-5%,50142,10214702.095316017,1200626.254869881,0.12119660159834071,0.5489609508994455,0.11753903771901796
5-10%,40116,8173764.646239172,943058.541596129,0.12445159035811147,0.5476368531259348,0.11537627793455484
10-15%,30087,6131172.787257479,646082.469403225,0.11892412005184964,0.5487752185329212,0.1053766533453419
15-20%,40116,8176530.856460762,807926.249038398,0.11790756792925516,0.5428756605843055,0.09881039565820357
20-25%,20058,4088564.6281064157,369209.459142724,0.11972380102039086,0.5580317080466647,0.0903029529250025
