Order Status,sales,profit,orders,order_lines,sales_share
COMPLETE,12095314.950843364,1321735.751192676,21716,59491,0.3288134316162368
PENDING_PAYMENT,8106697.5552908,843810.240935022,14382,39832,0.2203821110126829
PROCESSING,4504063.746151682,494825.870789214,7901,21902,0.1224438274331296
PENDING,4120532.869502395,435725.850069496,7321,20227,0.11201746778938652
CLOSED,4022624.166706608,457981.090597622,7249,19616,0.10935580112901302
ON_HOLD,1981542.708006305,208913.040202976,3624,9804,0.05386861444796466
SUSPECTED_FRAUD,825934.95578134,85136.710036366,1488,4062,0.02245319846618223
CANCELED,744370.40412021,75345.63014486,1367,3692,0.02023585065515512
PAYMENT_REVIEW,383653.656977141,43428.790082125,704,1893,0.010429697450249222
